bit error rate,received error rate
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0411184
0.17,0.0953947
0.18,0.0690789
0.19,0.0623145
0.20,0.106908
0.21,0.134868
0.22,0.111842
0.23,0.136513
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0970395
0.17,0.110197
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0.00934579
0.15,0
0.16,0.0186916
0.17,0.0155763
0.18,0.136513
0.19,0.111842
0.20,0.118421
0.21,0.0805921
0.22,0.128289
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0296053
0.17,0.0186916
0.18,0.118421
0.19,0.161184
0.20,0.123355
0.21,0.134868
0.22,0.15625
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.113487
0.18,0
0.19,0.0218069
0.20,0.0871711
0.21,0.15625
0.22,0.189145
0.23,0.169408
0.24,0.148026
0.25,0.146382
0.26,0.161184
0.27,0.138158
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0674342
0.18,0.0756579
0.19,0.115132
0.20,0.144737
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0124611
0.18,0.123355
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
